AppID	Works	Title
262940	True	Broken Sword 5 - the Serpent's Curse
263060	True	Blockstorm
263320	True	Saturday Morning RPG
263340	True	Continue?9876543210
263360	True	3089 -- Futuristic Action RPG
263420	True	Probably Archery
263460	True	Girls Like Robots
263840	Error
264060	True	Full Bore
264080	True	Vangers
264140	{'Beta': True}	Pixel Piracy
264160	True	WazHack
264280	True	99 Levels To Hell
264340	True	Major Mayhem
264380	True	Narcissu 1st & 2nd
264730	{'Comment': 'Broken overlay.'}	Deadly 30
265380	True	Grimind
265630	True	Fistful of Frags
265670	True	Imagine Me
265770	True	Cannons Lasers Rockets
265830	True	Monochroma
265890	True	Hexcells
266010	True	LYNE
266090	True	Starlite: Astronaut Rescue - Developed in Collaboration with NASA
266130	True	Breach & Clear
267060	True	Gravity Badgers
267670	True	Realms of Arkania 1 - Blade of Destiny Classic
268240	True	Mechanic Escape
268750	True	Magicite
268810	True	Paranormal State: Poison Spring
269010	{'Comment': 'Broken overlay.'}	Science Girls
269150	True	Luxuria Superbia
269810	True	Spate
270050	True	Quest of Dungeons
270150	True	RUNNING WITH RIFLES
270330	True	Ku: Shroud of the Morrigan
270450	True	Robot Roller-Derby Disco Dodgeball
270570	True	Reversion - The Escape
270750	True	Realms of Arkania 2 - Star Trail Classic
270760	True	Realms of Arkania 3 - Shadows over Riva Classic
271820	True	Card City Nights
271900	True	Hexcells Plus
272060	True	Serena
272670	True	Out of the Park Baseball 15
273070	True	The Last Federation
274450	True	The Powerpuff Girls: Defenders of Townsville
278910	True	Interplanetary
279160	True	Ultionus: A Tale of Petty Revenge
280220	True	Creeper World 3: Arc Eternal
280910	True	T.E.C. 3001
282760	True	Circuits
282880	True	FaeVerse Alchemy
283040	True	Paper Dungeons
283270	True	Jagged Alliance 1: Gold Edition
283980	True	Spy Fox in "Dry Cereal"
284710	True	Abyss: The Wraiths of Eden
286100	{'Comment': 'This game has only 64-bit binaries.'}	You Have to Win the Game
286380	True	Strata
287020	Error
287580	{'Comment': 'Partly broken overlay (does not accept input)'}	Pandora: First Contact
289760	True	ROCKETSROCKETSROCKETS
290060	True	Glitchspace
290280	True	Volt
290770	True	The Fall
291030	True	Always Remember Me
291050	True	Planet Stronghold
291430	True	Lost Marbles
293200	True	Sentinel
293300	True	LEVEL 22
293860	True	White Noise Online
293920	True	Spirited Heart Deluxe
294230	True	Millie
295610	True	Inescapable
296850	True	Al Emmo and the Lost Dutchman's Mine
297120	{'Comment': 'Flickering graphics during menus on AMD fglrx drivers'}	Heavy Bullets
297490	True	Spy Chameleon - RGB Agent
298340	True	FLASHOUT 2
299460	True	Woodle Tree Adventures
299780	True	Noir Syndrome
300300	True	Ichi
301190	True	Frederic: Resurrection of Music
301360	{'Comment': 'This game has only 64-bit binaries.'}	Kill Fun Yeah
302380	True	Floating Point
302950	True	Heileen 1: Sail Away
